,agent,seed,action_selection,carbon_score,cost_score
0,DQN,1,softmax,0.923102928635067,0.8072912204794523
1,DQN,2,softmax,0.9200937741550994,0.8330445814694308
2,DQN,3,softmax,0.9283940054310998,0.8441245815069635
3,DQN,4,softmax,0.9505948539024034,0.8422086619382158
4,DQN,6,softmax,0.9620965224236973,0.8543667117794141
5,DQN,7,softmax,0.9530820967141372,0.8655642875009718
6,DQN,8,softmax,0.9205663622699,0.7968458224195271
7,DQN,9,softmax,0.9185495998969593,0.822739041425027
8,DQN,10,softmax,0.9183184544206241,0.816716161548263
9,DQN,1,egreedy,0.9339758100831139,0.8280440647602363
10,DQN,2,egreedy,0.9133776397741027,0.8250825102612487
11,DQN,3,egreedy,0.954645267270819,0.8423922346444247
12,DQN,4,egreedy,0.9613826399742035,0.8212530513553766
13,DQN,5,egreedy,0.9008063666795428,0.8304217377169119
14,DQN,6,egreedy,0.9675363188501543,0.8314134022706093
15,DQN,7,egreedy,0.9734166434023819,0.8420969341986243
16,DQN,8,egreedy,0.9200444016236906,0.8027896917349068
17,DQN,9,egreedy,0.9183167449882572,0.8184085010593505
18,DQN,10,egreedy,0.9093337041883154,0.8179012870447799
19,UADQN,1,,0.8994428502331184,0.7927204455833934
20,UADQN,2,,0.903662833974078,0.8221460427281846
21,UADQN,3,,0.9037011662743527,0.818277226863342
22,UADQN,4,,0.9190772377848204,0.8242855769793788
23,UADQN,5,,0.9073450469527369,0.8286829349388326
24,UADQN,6,,0.8987120053957183,0.8237989005772101
25,UADQN,7,,0.921138317404865,0.8022123635943113
26,UADQN,8,,0.9125690058900001,0.8385504975739889
27,UADQN,9,,0.8985887299056647,0.8222083640545141
28,UADQN,10,,0.9315094605559568,0.837567433289276
